模型,變數,係數,標準誤,t值,p值
整體電腦型彩券,const,16.3105,1.0788,15.1191,0.0
整體電腦型彩券,CPI年增率,0.2437,0.4558,0.5346,0.5936
整體電腦型彩券,失業率年變動(pp),-6.6781,1.928,-3.4637,0.0007
整體電腦型彩券,CCI年變動,-0.1784,0.0702,-2.5428,0.0119
整體電腦型彩券,TAIEX年增率(%),0.0419,0.0329,1.2709,0.2055
整體電腦型彩券,連槓獎金(億),1.7812,0.0729,24.4385,0.0
整體電腦型彩券,春節,25.5781,1.6689,15.3259,0.0
整體電腦型彩券,端午,-1.2257,1.6371,-0.7487,0.4551
整體電腦型彩券,中秋,-0.613,1.6358,-0.3748,0.7083
大樂透,const,4.9268,0.5745,8.5764,0.0
大樂透,CPI年增率,0.1959,0.2446,0.8009,0.4243
大樂透,失業率年變動(pp),-3.5112,1.0624,-3.305,0.0012
大樂透,CCI年變動,-0.0775,0.0382,-2.0317,0.0437
大樂透,TAIEX年增率(%),0.001,0.0179,0.054,0.957
大樂透,大樂透連槓獎金(億),1.608,0.0952,16.8908,0.0
大樂透,春節,21.6372,0.9559,22.6347,0.0
大樂透,端午,0.2138,0.8911,0.2399,0.8107
大樂透,中秋,0.441,0.8927,0.494,0.6219
威力彩,const,-0.5098,0.566,-0.9007,0.369
威力彩,CPI年增率,0.0762,0.2483,0.3071,0.7592
威力彩,失業率年變動(pp),-1.4515,1.0636,-1.3647,0.1742
威力彩,CCI年變動,-0.0483,0.0386,-1.2521,0.2122
威力彩,TAIEX年增率(%),0.0229,0.0181,1.2658,0.2073
威力彩,威力彩連槓獎金(億),1.5623,0.0394,39.6836,0.0
威力彩,春節,0.4437,0.9144,0.4853,0.6281
威力彩,端午,-1.4408,0.8993,-1.6021,0.111
威力彩,中秋,-1.2351,0.8994,-1.3732,0.1715
今彩539,const,5.7856,0.4587,12.6137,0.0
今彩539,CPI年增率,0.0009,0.0495,0.0178,0.9858
今彩539,失業率年變動(pp),-1.3159,0.217,-6.0639,0.0
今彩539,CCI年變動,-0.0305,0.008,-3.8252,0.0002
今彩539,TAIEX年增率(%),0.0125,0.0037,3.3997,0.0008
今彩539,今彩539連槓獎金(億),8.8558,1.2018,7.3686,0.0
今彩539,春節,0.8379,0.1872,4.4749,0.0
今彩539,端午,-0.6592,0.1821,-3.6203,0.0004
今彩539,中秋,-0.4027,0.1823,-2.209,0.0285
