年度,1,2,3,4,5,6,7,8,9,10,11,12
2011,31.4456355,86.769455,32.130464,29.52558,26.099759,27.832716,25.846274,39.4553365,35.8331045,34.1667145,31.7447415,34.6859565
2012,83.5921825,58.8314115,36.6223695,27.247848,26.8770545,30.5741915,71.962915,28.911061,29.0221855,39.365477,43.4764995,52.0042845
2013,29.136905,75.3529225,30.4926405,58.4456005,29.6176765,36.9972915,78.1224575,25.161748,35.4835285,37.747312,28.1368045,59.505823
2014,42.1392775,59.813527,38.112805,24.205499,30.5742865,35.6661855,25.9123815,26.3444545,28.254885,24.840257,25.52569,45.336475
2015,54.506168,55.821669,48.398494,74.0809035,25.8108505,25.9380075,31.712561,47.5136755,53.345884,24.2692905,23.542495,21.553829
2016,21.757246,48.0738455,26.7690835,20.8076695,20.866986,23.8152385,23.2456165,27.231814,25.6051145,30.3400805,21.330631,22.145657
2017,45.6532675,36.0109375,24.327956,21.5580135,27.2976055,22.397373,22.712295,37.9244945,21.1042365,28.406164,29.141024,31.131232
2018,23.524188,49.484333,23.5584075,21.614356,30.677081,20.662706,19.3199735,23.090391,23.8364305,38.528394,31.7345265,20.966071
2019,23.7845075,54.9536305,20.7170345,20.5944555,24.38653,27.6234515,39.850667,41.2556655,28.030695,30.241622,21.0469225,22.303722
2020,46.2192375,29.037906,24.12621,30.9531875,29.7732115,38.838887,88.393234,24.929231,27.1388645,26.3905715,23.7411175,25.2040875
2021,25.4793865,63.658341,31.8391495,23.847136,20.740781,20.7320905,31.397527,84.514788,27.7845165,26.1740435,22.462396,23.9029255
2022,37.7637905,64.098398,26.794261,31.819816,24.058901,25.4894615,21.244527,23.599195,30.030937,23.6949425,25.0045615,23.9224565
2023,59.8776275,44.2746345,33.6607,22.5678545,25.7626885,31.1870335,22.692559,25.215035,37.9408725,26.8832765,33.2672255,25.8431775
2024,25.2524975,60.289981,25.869969,24.092858,26.3634185,24.595762,24.5488615,23.4302235,27.652988,30.4824285,23.4345035,25.0545075
2025,52.617744,85.1520905,24.603104,24.213467,32.912901,51.782099,30.418671,23.4067225,26.7151995,29.9748185,27.810996,26.746568
