月份,CCI
2010-01,61.8
2010-02,65.65
2010-03,67.65
2010-04,80.8
2010-05,83.2
2010-06,81.45
2010-07,82.15
2010-08,82.35
2010-09,82
2010-10,82.15
2010-11,84.3
2010-12,86
2011-01,89.85
2011-02,89.8
2011-03,88.0
2011-04,89.3
2011-05,90.55
2011-06,90.85
2011-07,93.55
2011-08,93.55
2011-09,92.8
2011-10,88.35
2011-11,85.95
2011-12,82.7
2012-01,83.15
2012-02,83.5
2012-03,84.45
2012-04,83.35
2012-05,81.95
2012-06,80.15
2012-07,78.5
2012-08,75.35
2012-09,72.9
2012-10,71.3
2012-11,73.3
2012-12,72.5
2013-01,73.85
2013-02,76.15
2013-03,76.6
2013-04,76.85
2013-05,74.7
2013-06,71.65
2013-07,71.0
2013-08,71.35
2013-09,71.0
2013-10,71.2
2013-11,71.7
2013-12,69.85
2014-01,73.25
2014-02,75.75
2014-03,73.7
2014-04,76.7
2014-05,78.65
2014-06,81.8
2014-07,85.25
2014-08,77.4
2014-09,77.75
2014-10,77.85
2014-11,78.5
2014-12,82.9
2015-01,85.1
2015-02,85.6
2015-03,87.65
2015-04,88.45
2015-05,86.65
2015-06,84.6
2015-07,81.35
2015-08,77.2
2015-09,76.65
2015-10,76.35
2015-11,76.7
2015-12,72.8
2016-01,72.25
2016-02,73.9
2016-03,73.65
2016-04,73.15
2016-05,73.05
2016-06,73.0
2016-07,73.6
2016-08,73.35
2016-09,73.3
2016-10,72.85
2016-11,72.65
2016-12,72.9
2017-01,71.4
2017-02,71.65
2017-03,71.65
2017-04,71.6
2017-05,71.55
2017-06,71.6
2017-07,71.55
2017-08,73.75
2017-09,75.85
2017-10,77.45
2017-11,79.5
2017-12,79.7
2018-01,81.75
2018-02,82.85
2018-03,83.3
2018-04,82.55
2018-05,82.15
2018-06,81.25
2018-07,80.6
2018-08,80.7
2018-09,82.7
2018-10,81.9
2018-11,81.95
2018-12,82.25
2019-01,82.8
2019-02,83.95
2019-03,84.0
2019-04,85.3
2019-05,85.3
2019-06,86.45
2019-07,86.9
2019-08,86.25
2019-09,86.35
2019-10,87.3
2019-11,89.95
2019-12,93.1
2020-01,93.85
2020-02,92.85
2020-03,88.95
2020-04,86.4
2020-05,79.05
2020-06,82.9
2020-07,82.65
2020-08,84.85
2020-09,83.0
2020-10,83.8
2020-11,85.25
2020-12,84.9
2021-01,84.3
2021-02,87.95
2021-03,89.5
2021-04,89.65
2021-05,89.25
2021-06,86.8
2021-07,89.1
2021-08,89.5
2021-09,88.6
2021-10,88.9
2021-11,86.7
2021-12,87.1
2022-01,89.9
2022-02,90.0
2022-03,89.5
2022-04,89.4
2022-05,85.85
2022-06,80.95
2022-07,79.55
2022-08,79.7
2022-09,78.9
2022-10,78.45
2022-11,86.65
2022-12,75.6
2023-01,76.85
2023-02,78.7
2023-03,80.75
2023-04,79.3
2023-05,80.5
2023-06,80.6
2023-07,80.9
2023-08,80.75
2023-09,80.0
2023-10,81.61
2023-11,81.84
2023-12,81.33
2024-01,82.94
2024-02,83.59
2024-03,83.68
2024-04,79.6
2024-05,82.86
2024-06,83.52
2024-07,87.38
2024-08,90.26
2024-09,90.56
2024-10,89.37
2024-11,89.21
2024-12,88.7
2025-01,86.84
2025-02,87.41
2025-03,86.8
2025-04,84.09
2025-05,82.16
2025-06,81.11
2025-07,80.65
2025-08,79.17
2025-09,76.18
2025-10,78.35
2025-11,81.77
2025-12,81.39
