類型,排名,號碼,出現次數
一般獎號,1,8,244
一般獎號,2,35,243
一般獎號,3,30,241
一般獎號,3,41,241
一般獎號,5,23,233
一般獎號,6,11,232
一般獎號,7,15,229
一般獎號,7,22,229
一般獎號,9,32,228
一般獎號,10,2,226
一般獎號,10,36,226
一般獎號,10,37,226
一般獎號,13,1,224
一般獎號,14,43,223
一般獎號,15,21,222
一般獎號,15,46,222
一般獎號,17,19,220
一般獎號,17,27,220
一般獎號,17,29,220
一般獎號,20,5,219
一般獎號,21,33,218
一般獎號,22,7,216
一般獎號,22,31,216
一般獎號,24,13,215
一般獎號,25,16,214
一般獎號,25,18,214
一般獎號,25,20,214
一般獎號,25,44,214
一般獎號,29,3,213
一般獎號,29,26,213
一般獎號,31,40,211
一般獎號,31,49,211
一般獎號,33,14,210
一般獎號,33,28,210
一般獎號,33,39,210
一般獎號,33,45,210
一般獎號,37,10,209
一般獎號,37,38,209
一般獎號,37,47,209
一般獎號,40,17,208
一般獎號,40,34,208
一般獎號,40,42,208
一般獎號,43,48,207
一般獎號,44,12,206
一般獎號,45,24,201
一般獎號,45,25,201
一般獎號,47,6,191
一般獎號,47,9,191
一般獎號,49,4,189
特別號,1,24,55
特別號,2,31,52
特別號,3,41,50
特別號,4,8,45
特別號,4,42,45
特別號,6,2,44
特別號,7,39,43
特別號,8,3,42
特別號,8,14,42
特別號,8,37,42
特別號,8,49,42
特別號,12,10,41
特別號,12,40,41
特別號,14,26,40
特別號,15,9,39
特別號,15,28,39
特別號,15,45,39
特別號,18,13,38
特別號,19,6,37
特別號,19,21,37
特別號,19,22,37
特別號,19,33,37
特別號,23,27,36
特別號,23,29,36
特別號,25,7,35
特別號,25,11,35
特別號,25,16,35
特別號,25,36,35
特別號,25,38,35
特別號,30,4,34
特別號,30,5,34
特別號,30,30,34
特別號,33,15,33
特別號,33,18,33
特別號,33,46,33
特別號,36,19,32
特別號,36,35,32
特別號,36,43,32
特別號,39,12,31
特別號,40,34,30
特別號,40,47,30
特別號,42,25,29
特別號,43,20,28
特別號,44,1,26
特別號,44,44,26
特別號,44,48,26
特別號,47,32,25
特別號,48,23,24
特別號,49,17,23
